id,text,users_id,user_screen_name,user_name,created_at, retweet_count,source,user_id,user_description,user_follower_count,user_friends_count,user_location,user_verified,user_url,lenght_of_tweet
1.31E+18,Every SSRIAN is fighting with each other over issues like HT AND MANY MORE ....i just wanted to convey dont fight w… https://t.co/YzTRUcLgnF,1.29E+18,comradeShalu27,230,10-08-2020 6.07,0,Twitter for Android,1.29E+18,||IAS ASPIRANT||was INTERN journalist||Book lover||Pure soul||Anti Feminist||Anti Bullshit||Modi bhakt||Har Har Mahadev✌🤞🤘💃👩‍🏫,230,812,"बिहार, भारत",FALSE,,140
1.31E+18,"SSR didn't make or receive any calls since 13 June after 2.30pm...

His last call &amp; msg was before 22 hours his bod… https://t.co/BvBhmvrHtf",1.29E+18,RiyushaA95,680,23-07-2020 3.04,0,Twitter for Android,1.29E+18,Here for SSR justice,680,308,,FALSE,,144
1.31E+18,@sumikumopon he's making u suffer alot 😭 be prepared for possible ssr cain soon 💔,1.19E+18,sumiitaru,195,08-11-2019 7.04,0,Twitter for Android,1.19E+18,Hikari • she/her •20 • not spoiler free • FUB=OK! multifandom mess—a3♡ mhyk ♡ twst ♡ enstars ♡ ID7 ♡ tsukiuta ♡ gbf ♡ AAside and more • im weak for #シノヒス 🍀💧,195,465,PH | eng/fil | read carrd byf✨,FALSE,https://t.co/ZEeObeVQeh,81
1.31E+18,"#SSR other star and none in the future will inspire young guns of India as SSR did. Mark my words , he is the best… https://t.co/yB8WJoWzYo",1.17E+18,KPangaluri,1,16-09-2019 7.01,0,Twitter Web App,1.17E+18,Desh Bhakt! Jai Hind. Mera Bhaarat Maahan..,1,17,,FALSE,,139
1.31E+18,"#NationWantsDishaSSRTruth
Justice for SSR https://t.co/A4u6HnGI94",1.29E+18,Aswin17899422,87,02-08-2020 9.23,0,Twitter Web App,1.29E+18,Myself,87,266,,FALSE,,65
1.31E+18,your Indian media shows so much adds for hours even after sayin ''ek chotese break k liye ruk rhe hain'' when they… https://t.co/FQIsqE6Dfw,1.29E+18,Dr_Wuhan,69,15-08-2020 4.26,0,Twitter Web App,1.29E+18,Toilet cleaner of WHO👨- Biggest scamming🚑 agency of the world 👌🤘I love bat soup🧛‍♂️... Loves chinese food🍜 ........Puppet of China💖,69,216,Wuhan,FALSE,,139
1.31E+18,@Busybee61648656 @Ssr_Ssr9 @shwetasinghkirt @vikirti @nilotpalm3 The HT we are currently using is #WeStayUnited4SSR,1.17E+18,Rushnishyamagm1,79,09-09-2019 19.58,0,Twitter for Android,1.17E+18,let your soul do the talking,79,131,where ever I am ,FALSE,,115
1.31E+18,"We want the  truth of both the murders? 

Why they killed Sushant and Disha?

#NationWantsDishaSSRTruth",2181664665,0308_ssr,504,15-11-2013 7.49,1,Twitter for Android,2181664665,,504,418,,FALSE,,103
1.31E+18,@Ssr_Ssr9 Adding few  @aatish_dkd  @_mallika_singh @justice_sushi ......,1.27E+18,Pallavi_dz,47,17-06-2020 10.41,0,Twitter for Android,1.27E+18,,47,40,,FALSE,,72
1.31E+18,"@republic one request, is it not possible to stop this bigwig adv, difficult to stand it while watching Republic. G… https://t.co/z6DJmaMqWg",3305391409,MeenakshiSriva2,9,03-08-2015 17.17,0,Twitter for Android,3305391409,,9,28,"Gurgaon, India",FALSE,,140
1.31E+18,@NickKumar0 @BhaavnaArora Who made sushant?? Some stories n some directors. U cant denied. So stop spreading nepoti… https://t.co/uF9klQ9z6P,1.21E+18,subhash46898724,26,21-12-2019 18.53,0,Twitter for iPhone,1.21E+18,Want to explore all,26,46,,FALSE,,140
1.31E+18,@nilotpalm3 Sir thousands are with you for HT why bothers others? Because of HT other will stay in sync &amp; united al… https://t.co/tmJhKw4eGn,600441202,Ssr_Ssr9,111,05-06-2012 21.33,0,Twitter for iPhone,600441202,,111,103,"Mumbai,India",FALSE,,144
1.31E+18,#Nation_With_ArnabGoswami Arnab Ji has done a great job in the SSR case and raised the public's voice. The Truth's… https://t.co/x5K164m0Qv,1.28E+18,iimphoenix310,5,28-06-2020 4.19,0,Twitter Web App,1.28E+18,"Entrepreneur & A Critic who Dreams of One United World 🌍! ✌️ 
Views all personal. RT/likes etc, not endorsements. 
Raising My Voice For Good and Against Bad!",5,40,"Ludhiana, Punjab, India",FALSE,https://t.co/P6EP8j8qIK,139
1.31E+18,"Justice for SSR. U were too good for this world and fake bollywoodHe's the king of Bollywood, great warrior, they s… https://t.co/CpgOdnkBkn",1.29E+18,DIYASHA36201836,76,11-08-2020 15.34,0,Twitter for Android,1.29E+18,,76,510,,FALSE,,140
1.31E+18,"Buffalo Bell: SSR, Rhea, Kangana, Thackeray, Karan Johar, Taimur, Bollywood, Drugs, 

Bell Thief: News channels

4/… https://t.co/Z2rhqwhVCC",94876321,anilkapoor60,757,05-12-2009 21.56,0,Twitter for Android,94876321,"Knowledge & Perspective.
RT are not endorsements.

Founder @BloodPunjab

 Donate Blood 🆘 It Saves Lives


Subscribe to our YouTube Channel

Link Below 👇",757,1514,India,FALSE,https://t.co/XcIXLTfOYg,140
1.31E+18,"@PMOIndia @Swamy39 can't believe SSR isn't there , he would have definitely brought a change in the entire mindset… https://t.co/o80KUG9KJB",1.17E+18,KPangaluri,1,16-09-2019 7.01,0,Twitter Web App,1.17E+18,Desh Bhakt! Jai Hind. Mera Bhaarat Maahan..,1,17,,FALSE,,139
1.31E+18,@SrBachchan Oh.. that’s y u have been silent on SSR and Jaya is against drug investigations so as to protect ur children.,1.30E+18,casca19017119,25,11-09-2020 5.19,0,Twitter for iPhone,1.30E+18,,25,122,,FALSE,,121
1.31E+18,"#JayaBachchanShamlessLady
#JayaBachchan Silent on 
Rammandir 
Palghar 
DrugNexus 
Disha &amp; SSR murder 
Kangana threa… https://t.co/M7yQoZPz0c",9.54E+17,sanatana_truth,424,18-01-2018 9.13,0,Twitter Web App,9.54E+17,"Hi, I am Sanatani Indian",424,2673,,FALSE,,144
1.31E+18,"❓Who all raped Disha?

❓Why it took more than 60 hours for her postmortem?

❓Why her body was found naked?

❓Who al… https://t.co/lzdmuqLtxF",1.19E+18,cloudfringed,177,22-10-2019 22.32,0,Twitter for Android,1.19E+18,Euphoria,177,132,,FALSE,,140
1.31E+18,@republic KANGANA &amp; RAVI KISHAN THEY WANT TO REMOVE THE DRUGGISM PLUS THE JUSTICE FOR SSR THEY HVN'T TALK ABOUT WHO… https://t.co/U1FtO0RZIh,1.29E+18,Sweetu60490378,0,09-08-2020 9.45,0,Twitter for Android,1.29E+18,😊,0,3,,FALSE,,144
1.31E+18,"#JayaBachchan #AmitabhBachchan #ArnabGoswami #JusticeForSushant 
•Disha was raped&amp;killed Brutally
•SSR was murdered… https://t.co/bIKucW70OJ",1.27E+18,NEERAJS89281708,4,16-06-2020 5.06,0,Twitter for Android,1.27E+18,A great way to deal with your problems is to melt some cheese on them.,4,161,,FALSE,,144
1.31E+18,"@shwetasinghkirt 🙏🙏✨🌻🌸
His dreams live on, his legacy lives on. SSR is immortal di",1.28E+18,Saachie3,61,30-06-2020 19.40,0,Twitter Web App,1.28E+18,Here for SSR🌺🌺,61,85,,FALSE,,82
1.31E+18,"I just want to quote a Bollywoody dialogue : ""Aap sirf Pati ho... Parmeshwar Nehi!""
#NationWantsDishaSSRTruth https://t.co/EES0iCsrpj",1.28E+18,SSR_Phoenix,62,01-07-2020 19.28,1,Twitter for Android,1.28E+18,"OBSERVE, ABSORB, ASSIMILATE AND RADIATE... Seeking TRUTH",62,106,,FALSE,,133
1.31E+18,"@amit_AishGang @IshitaRay11 Aishwarya doesn't think herself to be CBI, like this so-called self-claimed friend of S… https://t.co/C5EydipwjY",1193378622,simi_tweets,412,18-02-2013 14.46,0,Twitter for Android,1193378622,"Banker, music-addict, Bollywood movies' lover...Believe in the religion of Love & Humanity :)
@juniorbachchan ❤",412,145,"Kolkata,India",FALSE,,140
1.31E+18,"Big Breaking : 
The alien lives found in venus recently are connected to SSR.. he was about to discover and name th… https://t.co/GQ5H5nhrhe",782082750,pdiatre,174,26-08-2012 9.22,1,Twitter for Android,782082750,Bacchu ka doctor 👶  Yuvaraj singh and #RF fan #BeUrself,174,417,"Earth, Solar system ",FALSE,,140
1.31E+18,@shwetasinghkirt Definitely Shweta di...we have genuine love and respect for SSR!!!🦋🔱🙏❤💫,1.29E+18,ManviSi33475047,14,06-08-2020 18.48,0,Twitter for Android,1.29E+18,"ISBP MEMEBER 🦋❤💫
A family which believes in JUSTICE!!🙏",14,65,,FALSE,,88
1.31E+18,"#NationWantsDishaSSRTruth

Justice for SSR https://t.co/oF4ade4AXi",1.29E+18,Aswin17899422,87,02-08-2020 9.23,0,Twitter Web App,1.29E+18,Myself,87,266,,FALSE,,66
1.31E+18,@SortedEagle @shwetasinghkirt @ishkarnBHANDARI @meenakshisharan @i__Mystic @jtiku @BeenaPP1 @kalpanajaggi… https://t.co/Yzzm47vFWv,168401787,nationalistadar,700,19-07-2010 6.44,0,Twitter for Android,168401787,"SUPPORT FIGHT FOR JUSTICE TO SSR.
Fact Checker. Nationalist . indian. hate liberals. Fan of Modiji . Amit Shah and Ajit Doval sir",700,1551,"Rohtak, India",FALSE,https://t.co/Qh7gkxvXS9,130
1.31E+18,"@ashn_rajput @ndtv Ashna, don't twist words😊 nobody is supporting drugs!You guys can't debate without twisting word… https://t.co/nD9F1lDRWQ",101503522,shilpiee5,31,03-01-2010 15.38,0,Twitter for Android,101503522,"Author, Writer, Corporate Trainer",31,36,"Bengaluru, India",FALSE,,140
1.31E+18,@Remember2ndOct I dont know why some are losing their direction. We came together for SSR and that is our only miss… https://t.co/APkyejiBrZ,1.29E+18,Akeela37117090,95,01-08-2020 8.11,0,Twitter for Android,1.29E+18,"My thoughts are stars I cannot fathom into constellations.
Previous 2accs got restricted.",95,69,,FALSE,,140
1.31E+18,"#NationWantsDishaSSRTruth
Justice for ssr",1.28E+18,Divyraj33418327,2,02-07-2020 5.58,0,Twitter for Android,1.28E+18,Hi,2,6,,FALSE,,41
1.31E+18,"@aishugyanu Justice for SSR 
#NationWantsDishaSSRTruth",1.28E+18,Melaiene1,40,02-07-2020 17.28,0,Twitter for Android,1.28E+18,,40,139,,FALSE,,54
1.31E+18,@RaiEsmi @sunilburnwal89 @SmitaGarg2 @FarOutAkhtar @SrBachchan @ravikishann Why are you shouting here you go with y… https://t.co/h6Dkoqi0Fe,1.31E+18,Aryan54638830,0,13-09-2020 16.29,0,Twitter for Android,1.31E+18,,0,19,,FALSE,,140
1.31E+18,"@aishugyanu Justice for SSR 
#NationWantsDishaSSRTruth",1.28E+18,Melaiene1,40,02-07-2020 17.28,0,Twitter for Android,1.28E+18,,40,139,,FALSE,,54
1.31E+18,"Speeed uppppp 🔥🔥🔥🔥

#NationWantsDishaSSRTruth

The truth should come out !!
Our priority is only JUSTICE For Disha… https://t.co/994D4r1Bg9",1.27E+18,sushantfan21,3190,15-06-2020 15.22,4,Twitter for Android,1.27E+18,"Justiceee for Sushant Singh Rajput ❤️💫🔭🌪️💥🦋!
justiceee will be served !!",3190,337,India,FALSE,,139
1.31E+18,Come on SSRIANS! If they can bring their Soldiers of 2500 to protect Rhea then we are gonna bring the whole world a… https://t.co/Ia3aW8jd6E,1.30E+18,ItsZibran,692,17-08-2020 21.33,3,Twitter Web App,1.30E+18,"SSRian with passion from Canada | Honest Opinions, Cartoons, Point of Views, Evidences by SSRians and Fighting for Justice. #UnitedForSSRJustice",692,412,Canada,FALSE,,140
1.31E+18,"@itsKrishnaT Justice for SSR 
#NationWantsDishaSSRTruth",1.28E+18,Melaiene1,40,02-07-2020 17.28,1,Twitter for Android,1.28E+18,,40,139,,FALSE,,55
1.31E+18,"@FarOutAkhtar @sonamakapoor 
Ask your jaya aunty chachi ,do she sell ""thali "" or she distribute or she donate ""thal… https://t.co/4VnHoO3azE",8.99E+17,komal_butterfly,78,20-08-2017 21.48,0,Twitter for Android,8.99E+17,"#author ,#writer ,#blogger,#story ,#lovestory #friendshipstory",78,524,"Samastipur, India",FALSE,https://t.co/8N8OnITYUm,140
1.31E+18,"@rakhisawantt @rakhsawantt... one day urs life might end like SSR,then people like @kangnaRunnaut will support you… https://t.co/cfmbquT0F7",1.31E+18,soma99177544,0,16-09-2020 4.52,0,Twitter for iPhone,1.31E+18,Ahimsa,0,9,,FALSE,,139
